都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,緯度,経度,設置位置,電話番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無
403458,0000000021,福岡県,新宮町,そぴあしんぐう,ソピアシングウ,福岡県糟屋郡新宮町新宮東四丁目1-1,33.707192,130.452628,受付窓口前,(092)962-5111,新宮町,火水木金土日,09:00,22:00,月曜休館、12/28～1/4を除く,有
403458,0000000022,福岡県,新宮町,新宮町研修所,シングウマチケンシュウショ,福岡県糟屋郡新宮町下府二丁目2-10,33.709611,130.446589,玄関,(092)962-5111,新宮町,月火水木金土日,09:00,22:00,12/29～1/3を除く,有
403458,0000000023,福岡県,新宮町,杜の宮運動施設管理棟,モリノミヤウンドウシセツカンリトウ,福岡県糟屋郡新宮町杜の宮二丁目13-1,33.715563,130.440165,管理棟内,(092)963-5531,新宮町,月火水木金土日,08:00,22:00,12/29～1/3を除く,有
403458,0000000024,福岡県,新宮町,ふれあいの丘管理棟,フレアイノオカカンリトウ,福岡県糟屋郡新宮町大字三代1032-1,33.701304,130.458380,管理棟内,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,12/29～1/3を除く,有
403458,0000000025,福岡県,新宮町,立花小学校体育館,タチバナショウガッコウタイイクカン,福岡県糟屋郡新宮町大字立花口1072-3,33.690041,130.466953,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000026,福岡県,新宮町,新宮小学校体育館,シングウショウガッコウタイイクカン,福岡県糟屋郡新宮町下府三丁目12-1,33.709592,130.440794,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000027,福岡県,新宮町,新宮東小学校体育館,シングウヒガシショウガッコウタイイクカン,福岡県糟屋郡新宮町新宮東四丁目8-1,33.705925,130.451898,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000028,福岡県,新宮町,新宮北小学校体育館,シングウキタショウガッコウタイイクカン,福岡県糟屋郡新宮町上府北一丁目16-1,33.716936,130.453094,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000029,福岡県,新宮町,新宮中学校体育館,シングウチュウガッコウタイイクカン,福岡県糟屋郡新宮町下府二丁目1-1,33.710641,130.443435,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
403458,0000000030,福岡県,新宮町,新宮東中学校体育館,シングウヒガシチュウガッコウタイイクカン,福岡県糟屋郡新宮町大字三代1028,33.701802,130.456649,玄関,(092)962-5111,新宮町,月火水木金土日,08:00,22:00,施設利用の場合は月～金18:00～22:00、土･日は8:30～22:00、但し、12/29～1/3を除く,有
